epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,10153.2,0.06048,1.41349,0.87454,0.78596,0.74131,0.82498,0.82156,0.07163,0.67074,0.3152,0.00703,0.00703,0.00703
62,10318.4,0.05884,1.40404,0.87434,0.77887,0.74853,0.82558,0.82204,0.07019,0.66843,0.31343,0.0069805,0.0069805,0.0069805
63,10483.1,0.05762,1.41302,0.87665,0.77784,0.75116,0.82656,0.82301,0.07026,0.66716,0.31332,0.006931,0.006931,0.006931
64,10647.3,0.05844,1.414,0.87596,0.77346,0.75152,0.82657,0.82307,0.06995,0.66604,0.31328,0.0068815,0.0068815,0.0068815
65,10811.7,0.05735,1.38763,0.87521,0.77136,0.75485,0.82745,0.82354,0.0699,0.66582,0.31323,0.006832,0.006832,0.006832
66,10976,0.05589,1.38579,0.87112,0.77072,0.75844,0.82739,0.82343,0.06961,0.665,0.31286,0.0067825,0.0067825,0.0067825
67,11140.6,0.05737,1.38616,0.87465,0.7685,0.75876,0.82785,0.82386,0.07006,0.66456,0.31298,0.006733,0.006733,0.006733
68,11304.5,0.05722,1.37778,0.87477,0.76692,0.76285,0.82774,0.8238,0.07013,0.66329,0.31287,0.0066835,0.0066835,0.0066835
69,11469.1,0.05781,1.38678,0.87442,0.76879,0.7634,0.82808,0.82421,0.07061,0.66115,0.31331,0.006634,0.006634,0.006634
70,11632.8,0.05714,1.39517,0.87446,0.77293,0.7604,0.8286,0.82471,0.07062,0.66012,0.31314,0.0065845,0.0065845,0.0065845
71,11796.8,0.05761,1.36888,0.87469,0.76843,0.76343,0.82882,0.825,0.07103,0.65909,0.31328,0.006535,0.006535,0.006535
72,11960.6,0.0567,1.35984,0.87383,0.77348,0.76184,0.82909,0.82543,0.07147,0.65872,0.31357,0.0064855,0.0064855,0.0064855
73,12124.9,0.05629,1.36641,0.87384,0.77275,0.76176,0.82939,0.82582,0.07127,0.6583,0.31329,0.006436,0.006436,0.006436
74,12289.6,0.05797,1.374,0.87396,0.77049,0.76329,0.82967,0.82601,0.07125,0.65672,0.31315,0.0063865,0.0063865,0.0063865
75,12454.3,0.05744,1.35783,0.87438,0.77651,0.76046,0.82954,0.82578,0.07139,0.65577,0.31323,0.006337,0.006337,0.006337
76,12618.6,0.05669,1.37887,0.87431,0.7772,0.75992,0.82979,0.8263,0.07114,0.65512,0.31302,0.0062875,0.0062875,0.0062875
77,12783,0.05497,1.34839,0.87246,0.77305,0.76114,0.82981,0.82614,0.07122,0.65502,0.31313,0.006238,0.006238,0.006238
78,12947.2,0.05586,1.35052,0.8738,0.77423,0.75948,0.83011,0.82627,0.0705,0.65486,0.3124,0.0061885,0.0061885,0.0061885
79,13111.7,0.05515,1.35071,0.8763,0.77351,0.76031,0.83078,0.82692,0.07087,0.6542,0.31266,0.006139,0.006139,0.006139
80,13276.4,0.05331,1.33885,0.87352,0.77299,0.75932,0.83096,0.82722,0.07109,0.65419,0.31275,0.0060895,0.0060895,0.0060895
81,13441,0.05274,1.32429,0.87122,0.77278,0.76126,0.83086,0.82711,0.07098,0.65352,0.31273,0.00604,0.00604,0.00604
82,13604.8,0.05164,1.32903,0.87397,0.77439,0.7604,0.83144,0.82787,0.07107,0.65282,0.31291,0.0059905,0.0059905,0.0059905
83,13769.1,inf,1.32168,0.87427,0.77962,0.76012,0.83218,0.8284,0.07104,0.65049,0.31273,0.005941,0.005941,0.005941
84,13933.3,0.05411,1.3136,0.87349,0.7762,0.76434,0.83284,0.82914,0.07099,0.6496,0.31273,0.0058915,0.0058915,0.0058915
85,14097.9,inf,1.32174,0.87113,0.77384,0.76806,0.83281,0.82915,0.07084,0.64868,0.31257,0.005842,0.005842,0.005842
86,14262.8,0.05254,1.32094,0.87197,0.77456,0.76616,0.83303,0.82943,0.07125,0.6479,0.31282,0.0057925,0.0057925,0.0057925
87,14426.9,0.05256,1.31367,0.87207,0.77408,0.76744,0.83313,0.82956,0.07121,0.64737,0.31263,0.005743,0.005743,0.005743
88,14590.7,0.05174,1.31358,0.87258,0.77588,0.76779,0.83329,0.82989,0.07098,0.64679,0.31243,0.0056935,0.0056935,0.0056935
89,14754.8,0.05246,1.29718,0.8726,0.77548,0.76864,0.83344,0.83025,0.07092,0.64612,0.31239,0.005644,0.005644,0.005644
90,14919,0.05189,1.31002,0.87231,0.77879,0.76648,0.83399,0.83083,0.07075,0.64424,0.31215,0.0055945,0.0055945,0.0055945
91,15083.4,inf,1.30046,0.87415,0.77788,0.76718,0.83447,0.83117,0.07066,0.6428,0.31204,0.005545,0.005545,0.005545
92,15247.4,0.0512,1.31159,0.8728,0.77523,0.76878,0.83424,0.83089,0.07037,0.64152,0.31175,0.0054955,0.0054955,0.0054955
93,15411.9,0.05183,1.28867,0.87357,0.77695,0.76735,0.83449,0.83101,0.07059,0.64149,0.31178,0.005446,0.005446,0.005446
94,15576.2,0.05264,1.27718,0.87451,0.77537,0.76856,0.83477,0.83127,0.07048,0.64097,0.31161,0.0053965,0.0053965,0.0053965
95,15740.4,0.05071,1.27566,0.87375,0.77828,0.76733,0.83465,0.83112,0.07032,0.6406,0.3114,0.005347,0.005347,0.005347
96,15904.7,0.04981,1.2703,0.87193,0.78062,0.76377,0.83497,0.83147,0.06995,0.63913,0.31106,0.0052975,0.0052975,0.0052975
97,16068.7,0.04969,1.26897,0.87266,0.78112,0.76257,0.83568,0.83208,0.06939,0.63925,0.3106,0.005248,0.005248,0.005248
98,16233.1,0.04998,1.26442,0.87224,0.78293,0.76285,0.83592,0.8325,0.06924,0.63805,0.31052,0.0051985,0.0051985,0.0051985
99,16397.4,0.04964,1.26132,0.87212,0.78491,0.76247,0.83686,0.83343,0.06897,0.6369,0.31025,0.005149,0.005149,0.005149
100,16561.2,0.05125,1.26142,0.874,0.78587,0.76185,0.83699,0.83363,0.06853,0.63585,0.30991,0.0050995,0.0050995,0.0050995
101,16725.9,0.05019,1.2639,0.86953,0.78507,0.76083,0.83776,0.83443,0.06837,0.63446,0.30975,0.00505,0.00505,0.00505
102,16890.4,0.04982,1.25444,0.87181,0.77836,0.76823,0.83826,0.83492,0.06821,0.63333,0.30949,0.0050005,0.0050005,0.0050005
103,17054.7,0.04905,1.25475,0.87439,0.77327,0.7733,0.83897,0.83557,0.06818,0.63156,0.30959,0.004951,0.004951,0.004951
104,17218.3,0.04989,1.26088,0.87254,0.77575,0.77101,0.8394,0.836,0.06789,0.63118,0.30929,0.0049015,0.0049015,0.0049015
105,17382.9,0.05019,1.23976,0.87186,0.773,0.77327,0.83984,0.83654,0.06777,0.63106,0.30916,0.004852,0.004852,0.004852
106,17547.3,0.04828,1.22831,0.87119,0.77884,0.76964,0.84001,0.83677,0.06741,0.6304,0.30887,0.0048025,0.0048025,0.0048025
107,17711.8,0.04865,1.23027,0.8716,0.77506,0.77196,0.84022,0.83711,0.06718,0.62991,0.30857,0.004753,0.004753,0.004753
108,17876,0.04725,1.2222,0.87141,0.77484,0.77381,0.84031,0.83716,0.06677,0.62963,0.30816,0.0047035,0.0047035,0.0047035
109,18041.2,inf,1.2246,0.87305,0.77522,0.7731,0.84082,0.83772,0.06665,0.62833,0.30806,0.004654,0.004654,0.004654
110,18205.6,0.04661,1.22382,0.87111,0.77564,0.77447,0.841,0.83789,0.06671,0.62799,0.30809,0.0046045,0.0046045,0.0046045
111,18370.5,0.04796,1.21831,0.87075,0.76875,0.77941,0.84126,0.83808,0.06684,0.62691,0.30818,0.004555,0.004555,0.004555
112,18535,0.04859,1.21796,0.8725,0.76846,0.7818,0.84152,0.83838,0.06708,0.6271,0.3083,0.0045055,0.0045055,0.0045055
113,18699.4,0.04562,1.21682,0.87117,0.77012,0.77964,0.84183,0.83872,0.06703,0.62634,0.30822,0.004456,0.004456,0.004456
